auction_date,base_price,branch,city,energy_class,has_elevator,internal_id,lot_id,ownership_title,property_type,rooms,source_file,street_number,surface_sqm,auction_result,base_price_eur,codice,final_offer_eur,source_pdf,winner,address,lat,lng,zone_id,price_disparity,base_price_per_sqm,final_base_price_eur
27 Novembre 2025,185640.0,UOG3,MILANO,F,False,,158/25,PIENA PROP.,ALLOGGIO,3.0,20251114050448.html,'12,65.0,AGGIUDICATA,185640.0,80070.0,308103.0,esito-27novembre2025.pdf,S.G.,VIA DOMENICO CUCCHIARI,45.488653,9.1655052,-1,0.6596800258564964,2856.0,4740.046153846154
27 Novembre 2025,171295.0,UOG4,MILANO,F,True,,159/25,PIENA PROP.,ALLOGGIO,3.0,20251114050448.html,'18,73.0,AGGIUDICATA,171295.0,280411.0,411312.0,esito-27novembre2025.pdf,G.G.,VIA GASPARE ASELLI,45.4707963,9.2307815,2,1.4011909279313466,2346.5068493150684,5634.41095890411
27 Novembre 2025,96000.0,UOG2,MILANO,D,False,,160/25,PIENA PROP.,ALLOGGIO,2.0,20251114050448.html,11,50.0,AGGIUDICATA,96000.0,390244.0,128600.0,esito-27novembre2025.pdf,C.Q.,PIAZZALE SELINUNTE,45.4727691,9.1370806,10,0.33958333333333335,1920.0,2572.0
27 Novembre 2025,133751.0,UOG4,MILANO,D,False,,161/25,PIENA PROP.,ALLOGGIO,2.0,20251114050448.html,'3,57.0,AGGIUDICATA,133751.0,410564.0,168000.0,esito-27novembre2025.pdf,H.E.,VIA ILLIRICO,45.46932289999999,9.2322157,2,0.25606537521214795,2346.5087719298244,2947.3684210526317
27 Novembre 2025,132430.0,UOG3,MILANO,F,True,,162/25,PIENA PROP.,ALLOGGIO,3.0,20251114050448.html,'21,68.0,AGGIUDICATA,132430.0,510149.0,168888.8,esito-27novembre2025.pdf,W.F.,VIA TEANO,45.527894,9.1622795,13,0.27530619950162344,1947.5,2483.6588235294116
27 Novembre 2025,140239.0,UOG4,MILANO,F,True,,163/25,PIENA PROP.,ALLOGGIO,2.0,20251114050448.html,'98,61.0,AGGIUDICATA,140239.0,551721.0,157000.0,esito-27novembre2025.pdf,F.L.-.T.F.,VIA ROMUALDO BONFADINI,45.4441447,9.2447383,3,0.11951739530373148,2299.0,2573.7704918032787
27 Novembre 2025,130031.0,UOG3,MILANO,F,True,,164/25,PIENA PROP.,ALLOGGIO,2.0,20251114050448.html,'4,75.0,AGGIUDICATA,130031.0,620276.0,147550.0,esito-27novembre2025.pdf,E.P.,VIA CONCILIO VATICANO II,45.5121099,9.1466173,14,0.13472941067899194,1733.7466666666667,1967.3333333333333
27 Novembre 2025,179740.0,UOG2,MILANO,D,True,,165/25,PIENA PROP.,ALLOGGIO,3.0,20251114050448.html,'1,88.0,AGGIUDICATA,179740.0,652436.0,192200.0,esito-27novembre2025.pdf,R.M.,VIA DELLE BETULLE,45.4534892,9.0857607,8,0.069322354512073,2042.5,2184.090909090909
27 Novembre 2025,169433.0,UOG3,MILANO,F,True,,166/25,PIENA PROP.,ALLOGGIO,3.0,20251114050448.html,'115,87.0,AGGIUDICATA,169433.0,690477.0,175000.0,esito-27novembre2025.pdf,H.H.,VIA ALESSANDRO LITTA MODIGNANI,45.5196101,9.1541917,14,0.0328566453996565,1947.5057471264367,2011.4942528735633
27 Novembre 2025,135660.0,UOG3,MILANO,F,True,,167/25,PIENA PROP.,ALLOGGIO,2.0,20251114050448.html,'28,68.0,AGGIUDICATA,135660.0,720735.0,182250.0,esito-27novembre2025.pdf,L.D.,VIA FRANCESCO CILEA,45.4958906,9.1059993,9,0.34343210968597965,1995.0,2680.1470588235293
27 Novembre 2025,165585.0,UOG3,MILANO,G,True,,168/25,PIENA PROP.,ALLOGGIO,3.0,20251114050448.html,'96,83.0,AGGIUDICATA,165585.0,721239.0,226000.0,esito-27novembre2025.pdf,S.M.K.H.,VIA FRANCESCO CILEA,45.4967668,9.1015804,9,0.3648579279524111,1995.0,2722.89156626506
27 Novembre 2025,119914.0,UOGO,CORSICO,D,True,,169/25,PIENA PROP.,ALLOGGIO,3.0,20251114050448.html,'27,85.0,AGGIUDICATA,119914.0,740336.0,178500.0,esito-27novembre2025.pdf,F.R.N.L.,VIA EUGENIO CURIEL,45.4407359,9.093511,7,0.488566806211118,1410.7529411764706,2100.0
27 Novembre 2025,118503.0,UOGO,CORSICO,C,True,,170/25,PIENA PROP.,ALLOGGIO,3.0,20251114050448.html,'35,84.0,AGGIUDICATA,118503.0,740415.0,181480.0,esito-27novembre2025.pdf,M.M.S.A.,VIA EUGENIO CURIEL,45.44077590000001,9.0943193,7,0.5314380226660929,1410.75,2160.4761904761904
27 Novembre 2025,87912.0,UOGO,CORSICO,F,True,,171/25,PIENA PROP.,ALLOGGIO,2.0,20251114050448.html,'42,74.0,AGGIUDICATA,87912.0,741216.0,141327.2,esito-27novembre2025.pdf,C.V.,VIALE ITALIA,45.4350725,9.0946307,7,0.6075985075985078,1188.0,1909.8270270270273
27 Novembre 2025,119914.0,UOGO,CORSICO,G,True,,172/25,PIENA PROP.,ALLOGGIO,3.0,20251114050448.html,'36,85.0,AGGIUDICATA,119914.0,741280.0,145100.0,esito-27novembre2025.pdf,A.M.A.M.,VIALE ITALIA,45.43565,9.0954194,7,0.21003385759794518,1410.7529411764706,1707.0588235294117
27 Novembre 2025,146718.0,UOGO,CORSICO,C,True,,173/25,PIENA PROP.,ALLOGGIO,4.0,20251114050448.html,'20,104.0,AGGIUDICATA,146718.0,741863.0,191100.0,esito-27novembre2025.pdf,E.S.T.,VIA MARZABOTTO,45.4390515,9.0962572,7,0.30249867091972354,1410.75,1837.5
27 Novembre 2025,153772.0,UOGO,CORSICO,F,True,,174/25,PIENA PROP.,ALLOGGIO,4.0,20251114050448.html,'8,109.0,AGGIUDICATA,153772.0,742021.0,188000.0,esito-27novembre2025.pdf,M.M.,VIA BENVENUTO CELLINI,45.43547359999999,9.0938989,7,0.22258928803683375,1410.7522935779816,1724.7706422018348
