auction_date,base_price,branch,city,energy_class,has_elevator,internal_id,lot_id,ownership_title,property_type,rooms,source_file,street_number,surface_sqm,auction_result,base_price_eur,codice,final_offer_eur,source_pdf,winner,address,latitude,longitude
27 Novembre 2025,185640.0,UOG3,MILANO,F,False,,158/25,PIENA PROP.,ALLOGGIO,3.0,20251114050448.html,'12,65.0,AGGIUDICATA,185640.0,80070.0,308103.0,esito-27novembre2025.pdf,S.G.,VIA DOMENICO CUCCHIARI,45.488653,9.1655052
27 Novembre 2025,171295.0,UOG4,MILANO,F,True,,159/25,PIENA PROP.,ALLOGGIO,3.0,20251114050448.html,'18,73.0,AGGIUDICATA,171295.0,280411.0,411312.0,esito-27novembre2025.pdf,G.G.,VIA GASPARE ASELLI,45.4707963,9.230781499999999
27 Novembre 2025,96000.0,UOG2,MILANO,D,False,,160/25,PIENA PROP.,ALLOGGIO,2.0,20251114050448.html,11,50.0,AGGIUDICATA,96000.0,390244.0,128600.0,esito-27novembre2025.pdf,C.Q.,PIAZZALE SELINUNTE,45.4727691,9.137080599999999
27 Novembre 2025,133751.0,UOG4,MILANO,D,False,,161/25,PIENA PROP.,ALLOGGIO,2.0,20251114050448.html,'3,57.0,AGGIUDICATA,133751.0,410564.0,168000.0,esito-27novembre2025.pdf,H.E.,VIA ILLIRICO,45.46932289999999,9.2322157
27 Novembre 2025,132430.0,UOG3,MILANO,F,True,,162/25,PIENA PROP.,ALLOGGIO,3.0,20251114050448.html,'21,68.0,AGGIUDICATA,132430.0,510149.0,168888.8,esito-27novembre2025.pdf,W.F.,VIA TEANO,45.527894,9.1622795
27 Novembre 2025,140239.0,UOG4,MILANO,F,True,,163/25,PIENA PROP.,ALLOGGIO,2.0,20251114050448.html,'98,61.0,AGGIUDICATA,140239.0,551721.0,157000.0,esito-27novembre2025.pdf,F.L.-.T.F.,VIA ROMUALDO BONFADINI,45.4441447,9.2447383
27 Novembre 2025,130031.0,UOG3,MILANO,F,True,,164/25,PIENA PROP.,ALLOGGIO,2.0,20251114050448.html,'4,75.0,AGGIUDICATA,130031.0,620276.0,147550.0,esito-27novembre2025.pdf,E.P.,VIA CONCILIO VATICANO II,45.5121099,9.146617299999999
27 Novembre 2025,179740.0,UOG2,MILANO,D,True,,165/25,PIENA PROP.,ALLOGGIO,3.0,20251114050448.html,'1,88.0,AGGIUDICATA,179740.0,652436.0,192200.0,esito-27novembre2025.pdf,R.M.,VIA DELLE BETULLE,45.4534892,9.0857607
27 Novembre 2025,169433.0,UOG3,MILANO,F,True,,166/25,PIENA PROP.,ALLOGGIO,3.0,20251114050448.html,'115,87.0,AGGIUDICATA,169433.0,690477.0,175000.0,esito-27novembre2025.pdf,H.H.,VIA ALESSANDRO LITTA MODIGNANI,45.5196101,9.1541917
27 Novembre 2025,135660.0,UOG3,MILANO,F,True,,167/25,PIENA PROP.,ALLOGGIO,2.0,20251114050448.html,'28,68.0,AGGIUDICATA,135660.0,720735.0,182250.0,esito-27novembre2025.pdf,L.D.,VIA FRANCESCO CILEA,45.4958906,9.105999299999999
27 Novembre 2025,165585.0,UOG3,MILANO,G,True,,168/25,PIENA PROP.,ALLOGGIO,3.0,20251114050448.html,'96,83.0,AGGIUDICATA,165585.0,721239.0,226000.0,esito-27novembre2025.pdf,S.M.K.H.,VIA FRANCESCO CILEA,45.4967668,9.1015804
27 Novembre 2025,119914.0,UOGO,CORSICO,D,True,,169/25,PIENA PROP.,ALLOGGIO,3.0,20251114050448.html,'27,85.0,AGGIUDICATA,119914.0,740336.0,178500.0,esito-27novembre2025.pdf,F.R.N.L.,VIA EUGENIO CURIEL,45.4407359,9.093511
27 Novembre 2025,118503.0,UOGO,CORSICO,C,True,,170/25,PIENA PROP.,ALLOGGIO,3.0,20251114050448.html,'35,84.0,AGGIUDICATA,118503.0,740415.0,181480.0,esito-27novembre2025.pdf,M.M.S.A.,VIA EUGENIO CURIEL,45.44077590000001,9.0943193
27 Novembre 2025,87912.0,UOGO,CORSICO,F,True,,171/25,PIENA PROP.,ALLOGGIO,2.0,20251114050448.html,'42,74.0,AGGIUDICATA,87912.0,741216.0,141327.2,esito-27novembre2025.pdf,C.V.,VIALE ITALIA,45.4350725,9.0946307
27 Novembre 2025,119914.0,UOGO,CORSICO,G,True,,172/25,PIENA PROP.,ALLOGGIO,3.0,20251114050448.html,'36,85.0,AGGIUDICATA,119914.0,741280.0,145100.0,esito-27novembre2025.pdf,A.M.A.M.,VIALE ITALIA,45.43565,9.095419399999999
27 Novembre 2025,146718.0,UOGO,CORSICO,C,True,,173/25,PIENA PROP.,ALLOGGIO,4.0,20251114050448.html,'20,104.0,AGGIUDICATA,146718.0,741863.0,191100.0,esito-27novembre2025.pdf,E.S.T.,VIA MARZABOTTO,45.4390515,9.0962572
27 Novembre 2025,153772.0,UOGO,CORSICO,F,True,,174/25,PIENA PROP.,ALLOGGIO,4.0,20251114050448.html,'8,109.0,AGGIUDICATA,153772.0,742021.0,188000.0,esito-27novembre2025.pdf,M.M.,VIA BENVENUTO CELLINI,45.43547359999999,9.0938989
27 Novembre 2025,126564.0,UOGE,SESTO SAN GIOVANNI,F,False,,175/25,PIENA PROP.,ALLOGGIO,2.0,20251114050448.html,'109,73.0,AGGIUDICATA,126564.0,2370099.0,151000.0,esito-27novembre2025.pdf,T.D.,VIA GIACOMO LEOPARDI,45.5383865,9.224882899999999
27 Novembre 2025,119629.0,UOGE,SESTO SAN GIOVANNI,G,False,,176/25,PIENA PROP.,ALLOGGIO,2.0,20251114050448.html,'317,69.0,AGGIUDICATA,119629.0,2380103.0,151000.0,esito-27novembre2025.pdf,M.A.,VIA GIUSEPPE ROVANI,45.5355122,9.221328999999999
27 Novembre 2025,90640.0,UOGO,PIEVE EMANUELE,G,True,,177/25,PIENA PROP.,ALLOGGIO,3.0,20251114050448.html,'12,103.0,AGGIUDICATA,90640.0,9030422.0,127000.0,esito-27novembre2025.pdf,C.P.V.D.Z.S.L.,VIA GIOACCHINO ROSSINI,45.3425941,9.195323
27 Novembre 2025,87780.0,UOGO,PIEVE EMANUELE,E,True,,178/25,PIENA PROP.,ALLOGGIO,3.0,20251114050448.html,'15,84.0,AGGIUDICATA,87780.0,9030635.0,135000.0,esito-27novembre2025.pdf,M.P.A.S.,VIA GIUSEPPE VERDI,45.3408094,9.1990027
27 Novembre 2025,87723.0,UOGO,LEGNANO,F,True,,179/25,PIENA PROP.,ALLOGGIO,4.0,20251114050448.html,'135,114.0,AGGIUDICATA,87723.0,70000012.0,96444.0,esito-27novembre2025.pdf,P.C.J.L.,VIA PADRE SECCHI,45.6015468,8.940325
27 Novembre 2025,183778.0,UOG3,MILANO,F,True,,180/25,PIENA PROP.,ALLOGGIO,4.0,20251114050448.html,'15,106.0,AGGIUDICATA,183778.0,70030213.0,201288.0,esito-27novembre2025.pdf,Z.L.,VIA CARLO AMORETTI,45.5190815,9.1375133
27 Novembre 2025,100502.0,UOGO,ABBIATEGRASSO,G,False,,181/25,PIENA PROP.,ALLOGGIO,4.0,20251114050448.html,'53,116.0,AGGIUDICATA,100502.0,70190001.0,106000.0,esito-27novembre2025.pdf,M.E.E.H.R.,VIA GINIBISSA,45.4091657,8.9133441
27 Novembre 2025,237121.0,UOG3,MILANO,F,True,,182/25,PIENA PROP.,ALLOGGIO,4.0,20251114050448.html,'243,103.0,AGGIUDICATA,237121.0,70590889.0,335000.0,esito-27novembre2025.pdf,S.B.,VIALE GIOVANNI SUZZANI,45.5233916,9.2071563
27 Novembre 2025,237121.0,UOG3,MILANO,NO,False,,182/25,PINA PROP.,AUTOBOX,0.0,20251114050448.html,'243,15.0,AGGIUDICATA,237121.0,70590889.0,335000.0,esito-27novembre2025.pdf,S.B.,VIALE GIOVANNI SUZZANI,45.5233916,9.2071563
27 Novembre 2025,284074.0,UOG1,MILANO,F,True,,183/25,PIENA PROP.,ALLOGGIO,4.0,20251114050448.html,'8,116.0,ASTA DESERTA,284074.0,71020697.0,0.0,esito-27novembre2025.pdf,,VIA RICCARDO BALSAMO CRIVELLI,45.4394794,9.1371256
27 Novembre 2025,284074.0,UOG1,MILANO,NO,False,,183/25,PIENA PROP.,AUTOBOX,0.0,20251114050448.html,'8,15.0,ASTA DESERTA,284074.0,71020697.0,0.0,esito-27novembre2025.pdf,,VIA RICCARDO BALSAMO CRIVELLI,45.4394794,9.1371256
27 Novembre 2025,239383.0,UOG2,MILANO,G,True,,184/25,PIENA PROP.,ALLOGGIO,4.0,20251114050448.html,'8,121.0,AGGIUDICATA,239383.0,71030051.0,246400.0,esito-27novembre2025.pdf,Z.X.,VIA LUCCA,45.4562952,9.1134708
27 Novembre 2025,200002.0,UOGE,SAN DONATO MILANESE,D,True,,185/25,PIENA PROP.,ALLOGGIO,4.0,20251114050448.html,14,102.0,ASTA DESERTA,200002.0,71220036.0,0.0,esito-27novembre2025.pdf,,VIA FELICE MARITANO,45.413376,9.276745
27 Novembre 2025,158865.0,UOG3,MILANO,F,False,,186/25,PIENA PROP.,ALLOGGIO,3.0,20251114050448.html,'16,89.0,AGGIUDICATA,158865.0,99220109.0,163000.0,esito-27novembre2025.pdf,H.X.,VIA SEM BENELLI,45.4982346,9.1214985
27 Novembre 2025,171570.0,UOG3,MILANO,B,True,,187/25,PIENA PROP.,ALLOGGIO,3.0,20251114050448.html,'9,86.0,AGGIUDICATA,171570.0,99340107.0,250900.0,esito-27novembre2025.pdf,S.Z.,VIA URUGUAY,45.4957884,9.122368
27 Novembre 2025,124823.0,UOGE,SESTO SAN GIOVANNI,F,False,,188/25,PIENA PROP.,ALLOGGIO,3.0,20251114050448.html,'16,89.0,AGGIUDICATA,124823.0,99690132.0,165000.0,esito-27novembre2025.pdf,T.P.,VIA SAVONA,45.5319587,9.2536756
01 febbraio 2018,68400.0,UOG4,MILANO,G,False,,320/17,,ALLOGGIO,2.0,20180110020919.html,2,50.0,AGGIUDICATA,68400.0,280530.0,108000.0,esito-01febbraio18.pdf,R.S.,PIAZZA ANDREA FUSINA,45.46895960000001,9.2304629
