address,auction_date,base_price,branch,city,energy_class,has_elevator,internal_id,lot_id,ownership_title,property_type,rooms,source_file,street_number,surface_sqm
VIA DOMENICO CUCCHIARI,27 Novembre 2025,185640.0,UOG3,MILANO,F,False,,158/25,PIENA PROP.,ALLOGGIO,3,20251114050448.html,'12,65.0
VIA GASPARE ASELLI,27 Novembre 2025,171295.0,UOG4,MILANO,F,True,,159/25,PIENA PROP.,ALLOGGIO,3,20251114050448.html,'18,73.0
PIAZZALE SELINUNTE,27 Novembre 2025,96000.0,UOG2,MILANO,D,False,,160/25,PIENA PROP.,ALLOGGIO,2,20251114050448.html,11,50.0
VIA ILLIRICO,27 Novembre 2025,133751.0,UOG4,MILANO,D,False,,161/25,PIENA PROP.,ALLOGGIO,2,20251114050448.html,'3,57.0
VIA TEANO,27 Novembre 2025,132430.0,UOG3,MILANO,F,True,,162/25,PIENA PROP.,ALLOGGIO,3,20251114050448.html,'21,68.0
VIA ROMUALDO BONFADINI,27 Novembre 2025,140239.0,UOG4,MILANO,F,True,,163/25,PIENA PROP.,ALLOGGIO,2,20251114050448.html,'98,61.0
VIA CONCILIO VATICANO II,27 Novembre 2025,130031.0,UOG3,MILANO,F,True,,164/25,PIENA PROP.,ALLOGGIO,2,20251114050448.html,'4,75.0
VIA DELLE BETULLE,27 Novembre 2025,179740.0,UOG2,MILANO,D,True,,165/25,PIENA PROP.,ALLOGGIO,3,20251114050448.html,'1,88.0
VIA ALESSANDRO LITTA MODIGNANI,27 Novembre 2025,169433.0,UOG3,MILANO,F,True,,166/25,PIENA PROP.,ALLOGGIO,3,20251114050448.html,'115,87.0
VIA FRANCESCO CILEA,27 Novembre 2025,135660.0,UOG3,MILANO,F,True,,167/25,PIENA PROP.,ALLOGGIO,2,20251114050448.html,'28,68.0
VIA FRANCESCO CILEA,27 Novembre 2025,165585.0,UOG3,MILANO,G,True,,168/25,PIENA PROP.,ALLOGGIO,3,20251114050448.html,'96,83.0
VIA EUGENIO CURIEL,27 Novembre 2025,119914.0,UOGO,CORSICO,D,True,,169/25,PIENA PROP.,ALLOGGIO,3,20251114050448.html,'27,85.0
VIA EUGENIO CURIEL,27 Novembre 2025,118503.0,UOGO,CORSICO,C,True,,170/25,PIENA PROP.,ALLOGGIO,3,20251114050448.html,'35,84.0
VIALE ITALIA,27 Novembre 2025,87912.0,UOGO,CORSICO,F,True,,171/25,PIENA PROP.,ALLOGGIO,2,20251114050448.html,'42,74.0
VIALE ITALIA,27 Novembre 2025,119914.0,UOGO,CORSICO,G,True,,172/25,PIENA PROP.,ALLOGGIO,3,20251114050448.html,'36,85.0
VIA MARZABOTTO,27 Novembre 2025,146718.0,UOGO,CORSICO,C,True,,173/25,PIENA PROP.,ALLOGGIO,4,20251114050448.html,'20,104.0
VIA BENVENUTO CELLINI,27 Novembre 2025,153772.0,UOGO,CORSICO,F,True,,174/25,PIENA PROP.,ALLOGGIO,4,20251114050448.html,'8,109.0
VIA GIACOMO LEOPARDI,27 Novembre 2025,126564.0,UOGE,SESTO SAN GIOVANNI,F,False,,175/25,PIENA PROP.,ALLOGGIO,2,20251114050448.html,'109,73.0
VIA GIUSEPPE ROVANI,27 Novembre 2025,119629.0,UOGE,SESTO SAN GIOVANNI,G,False,,176/25,PIENA PROP.,ALLOGGIO,2,20251114050448.html,'317,69.0
