address,auction_result,base_price_eur,codice,final_offer_eur,lot_id,source_pdf,winner
MILANO VIA GIOVANNI PASCOLI '4 70,AGGIUDICATA,151200.0,00160147,351771.1,104/24,esito-13giugno2024.pdf,S.G.
MILANO VIA GIOVANNI PASCOLI '4 34,AGGIUDICATA,69360.0,00160165,210000.0,105/24,esito-13giugno2024.pdf,S.A.M.
MILANO VIA JACOPINO DA TRADATE '8 62,AGGIUDICATA,93000.0,00230512,177150.0,106/24,esito-13giugno2024.pdf,S.C.
MILANO VIA ILLIRICO '1 52,AGGIUDICATA,100776.0,00410493,146000.0,107/24,esito-13giugno2024.pdf,S.G.
MILANO VIA ORBETELLO '4 82,AGGIUDICATA,132430.0,00500208,227000.0,108/24,esito-13giugno2024.pdf,C.M.
MILANO PIAZZA CARDINALE PIETRO GASPARRI '4 88,AGGIUDICATA,126720.0,00511079,221999.0,109/24,esito-13giugno2024.pdf,L.K.
MILANO PIAZZA CARDINALE PIETRO GASPARRI '4 85,AGGIUDICATA,122400.0,00511136,176200.0,110/24,esito-13giugno2024.pdf,A.H.I.H.M.
MILANO VIALE UNGHERIA '46 74,AGGIUDICATA,129731.0,00550710,172221.0,111/24,esito-13giugno2024.pdf,C.N.M.
MILANO VIA ROMUALDO BONFADINI '94 57,AGGIUDICATA,99928.0,00553300,122000.0,112/24,esito-13giugno2024.pdf,T.F.
MILANO VIA DEI SALICI '37 88,AGGIUDICATA,154660.0,00651044,177600.0,113/24,esito-13giugno2024.pdf,S.B.F.S.
MILANO VIA DEI LARICI '18 67,AGGIUDICATA,117753.0,00651702,119100.0,114/24,esito-13giugno2024.pdf,G.F.
MILANO VIA DEI LARICI '28 66,AGGIUDICATA,115995.0,00651783,145700.0,115/24,esito-13giugno2024.pdf,M.A.A.M.
MILANO VIA ALESSANDRO LITTA MODIGNANI '105 71,AGGIUDICATA,102240.0,00690367,151550.0,116/24,esito-13giugno2024.pdf,M.T.Y.E.
MILANO VIA ALESSANDRO LITTA MODIGNANI '109 88,AGGIUDICATA,126720.0,00690437,169000.0,117/24,esito-13giugno2024.pdf,L.R.S.G.
MILANO VIA ARTURO GRAF '50 83,AGGIUDICATA,102920.0,00700463,125500.0,118/24,esito-13giugno2024.pdf,G.A.A.T.
MILANO VIA FILIPPO DE PISIS '31 69,AGGIUDICATA,85560.0,00700837,141280.0,119/24,esito-13giugno2024.pdf,P.N.V.
MILANO VIA FILIPPO DE PISIS '47 71,AGGIUDICATA,88040.0,00701009,153845.0,120/24,esito-13giugno2024.pdf,M.Y.A.-.V.I.
MILANO VIA FILIPPO DE PISIS '65 69,AGGIUDICATA,85560.0,00701155,153080.0,121/24,esito-13giugno2024.pdf,L.W.
MILANO VIA FRANCESCO CILEA '84 82,AGGIUDICATA,118490.0,00721334,200200.0,122/24,esito-13giugno2024.pdf,K.W.S.K.
MILANO VIA FRANCESCO CILEA '82 68,AGGIUDICATA,98260.0,00721354,152702.0,123/24,esito-13giugno2024.pdf,N.D.
MILANO VIA APPENNINI '61 72,AGGIUDICATA,104040.0,00721647,145800.0,124/24,esito-13giugno2024.pdf,W.B.
MILANO VIA APPENNINI '51 68,AGGIUDICATA,98260.0,00722052,171155.5,125/24,esito-13giugno2024.pdf,P.E.
MILANO VIA GIACOMO QUARENGHI '43 97,AGGIUDICATA,140165.0,00722668,240000.0,126/24,esito-13giugno2024.pdf,Z.W.
MILANO VIA LONGARONE '33 108,AGGIUDICATA,142290.0,70030372,203690.0,127/24,esito-13giugno2024.pdf,F.L.
MILANO VIA LUIGI CHIARELLI '8 88,AGGIUDICATA,127160.0,70100202,216000.0,128/24,esito-13giugno2024.pdf,W.X.
MILANO VIA BELTRAME CRISTIANI '5 103,AGGIUDICATA,178821.0,70590022,318888.8,129/24,esito-13giugno2024.pdf,Z.Y.J.
MILANO VIALE GIOVANNI SUZZANI '278 115,AGGIUDICATA,199654.0,70590440,325000.0,130/24,esito-13giugno2024.pdf,P.G.
70592625 MILANO VIA RAFFAELLO GIOLLI '21 154,AGGIUDICATA,274013.0,70590625,423600.0,131/24,esito-13giugno2024.pdf,T.A.
MILANO VIALE GIOVANNI SUZZANI '300 108,AGGIUDICATA,187502.0,70590800,305350.0,132/24,esito-13giugno2024.pdf,S.F.
70672375 MILANO VIA CARLO MARX '12 125,AGGIUDICATA,235659.0,70670375,240000.0,133/24,esito-13giugno2024.pdf,S.B.H.A.
70672561 MILANO VIA BENJAMIN CONSTANT '22 131,ASTA DESERTA,246561.0,70670561,0.0,134/24,esito-13giugno2024.pdf,
71025409 MILANO VIA CAMILLO GIUSSANI '32 133,AGGIUDICATA,227480.0,71020409,285000.0,135/24,esito-13giugno2024.pdf,S.A.A.H.
71025513 MILANO VIA RICCARDO BALSAMO CRIVELLI '20 101,AGGIUDICATA,173986.0,71020513,255640.0,136/24,esito-13giugno2024.pdf,P.S.
MILANO VIA RICCARDO BALSAMO CRIVELLI '16 130,AGGIUDICATA,215199.0,71020636,276100.0,137/24,esito-13giugno2024.pdf,A.M.
MILANO VIA DESSIE' '15 54,AGGIUDICATA,78489.0,93240037,171000.0,138/24,esito-13giugno2024.pdf,L.M.
MILANO VIA MAC MAHON '89,AGGIUDICATA,93139.0,00020148,116000.0,252/15,esito-01ottobre15.pdf,R.F.
MILANO VIA BRAMANTINO '3,ASTA DESERTA,80784.0,00230196,0.0,253/15,esito-01ottobre15.pdf,
MILANO VIA JACOPINO DA TRADATE '14,AGGIUDICATA,67478.0,00230657,68500.0,254/15,esito-01ottobre15.pdf,B.L.
MILANO VIA GASPARE ASELLI '18,AGGIUDICATA,68628.0,00280449,131750.0,255/15,esito-01ottobre15.pdf,D.M.A.
MILANO VIA FILIPPO ABBIATI '5,ASTA DESERTA,55374.0,00341234,0.0,256/15,esito-01ottobre15.pdf,
MILANO VIA DALMAZIO BIRAGO '2 A,AGGIUDICATA,41177.0,00410023,48026.0,257/15,esito-01ottobre15.pdf,G.S.
MILANO VIA DALMAZIO BIRAGO '2 B,AGGIUDICATA,59478.0,00410065,83100.0,258/15,esito-01ottobre15.pdf,R.L.
MILANO VIA DALMAZIO BIRAGO '4 A,AGGIUDICATA,40033.0,00410137,51250.0,259/15,esito-01ottobre15.pdf,S.C.
MILANO VIA DALMAZIO BIRAGO '4 B,ASTA DESERTA,60622.0,00410208,0.0,260/15,esito-01ottobre15.pdf,
MILANO VIA DALMAZIO BIRAGO '4 C,AGGIUDICATA,65197.0,00410213,70300.0,261/15,esito-01ottobre15.pdf,A.A.
MILANO VIA ANGELO INGANNI '52,AGGIUDICATA,65772.0,00433605,81000.0,262/15,esito-01ottobre15.pdf,B.R.
MILANO VIA COMASINA '57 A,AGGIUDICATA,45247.0,00510055,56188.0,263/15,esito-01ottobre15.pdf,Y.N.
MILANO VIA COMASINA '57 B,AGGIUDICATA,42072.0,00510094,50000.0,264/15,esito-01ottobre15.pdf,V.A.
MILANO VIA TEANO '36,AGGIUDICATA,52038.0,00510288,55660.0,265/15,esito-01ottobre15.pdf,R.C.M.
MILANO VIA SANTUARIO DEL SACRO CUORE '3,AGGIUDICATA,48510.0,00510582,51110.0,266/15,esito-01ottobre15.pdf,G.F.
MILANO VIALE UNGHERIA '2,AGGIUDICATA,63612.0,00551377,75005.0,267/15,esito-01ottobre15.pdf,G.N.
MILANO VIA LUIGI SORDELLO '10,AGGIUDICATA,53010.0,00551927,66530.0,268/15,esito-01ottobre15.pdf,D.F.F.
MILANO VIA CONCILIO VATICANO II '10 A,ASTA DESERTA,59486.0,00620766,0.0,269/15,esito-01ottobre15.pdf,
MILANO VIA CONCILIO VATICANO II '10 B,AGGIUDICATA,57008.0,00620770,60111.0,270/15,esito-01ottobre15.pdf,A.A.
MILANO VIA DEGLI ONTANI '44,ASTA DESERTA,85140.0,00650158,0.0,271/15,esito-01ottobre15.pdf,
MILANO VIA DEI SALICI '59,AGGIUDICATA,72819.0,00650503,80501.0,272/15,esito-01ottobre15.pdf,A.G.
MILANO VIA COSTANTINO BARONI '75,AGGIUDICATA,71971.0,00663815,77770.0,273/15,esito-01ottobre15.pdf,S.Y.
MILANO VIA ALESSANDRO LITTA MODIGNANI '113,ASTA DESERTA,74970.0,00690134,0.0,274/15,esito-01ottobre15.pdf,
MILANO VIA ALESSANDRO LITTA MODIGNANI '103,AGGIUDICATA,76734.0,00690333,0.0,275/15,esito-01ottobre15.pdf,N.O.
MILANO VIA ALESSANDRO LITTA MODIGNANI '115,AGGIUDICATA,90846.0,00690500,91100.0,276/15,esito-01ottobre15.pdf,P.E.
