base_price,branch,city,energy_class,has_elevator,internal_id,lot_id,ownership_title,property_type,rooms,source_file,source_url,street_number,auction_result,base_price_eur,codice,final_offer_eur,source_pdf,winner,address,auction_date,surface_sqm,data_source,latitude,longitude
,,,,,,001/15,,,,,,,ASTA DESERTA,59136.0,20131.0,0.0,esito-18febbraio15.pdf,,MILANO VIA MAC MAHON '89 A,18 Febbraio 2015,,pdf_only,45.4888873,9.164392
,,,,,,001/16,,,,,,,AGGIUDICATA,46784.0,160027.0,81000.0,esito-11febbraio16.pdf,C.P.G.,MILANO VIA GIOVANNI PASCOLI '2,11 Febbraio 2016,,pdf_only,45.4467219,9.2720662
,,,,,,001/17,,,,,,,AGGIUDICATA,100640.0,160056.0,242760.0,esito-08marzo17.pdf,S.D.,MILANO VIA GIOVANNI PASCOLI '2,8 Marzo 2017,,pdf_only,45.4467219,9.2720662
36176.0,UOG4,MILANO,G,False,,001/18,,ALLOGGIO,1.0,20180206172225.html,http://www.alermipianovendite.it/4209-2/,4,AGGIUDICATA,36176.0,160173.0,92760.0,esito-08marzo18.pdf,N.L.-.F.E.,VIA GIOVANNI PASCOLI,08 Marzo 2018,28.0,wayback,45.4738427,9.2185495
,,,,,,001/19,,,,,,,AGGIUDICATA,87912.0,160088.0,235000.0,esito-21febbraio19.pdf,C.A.I.,MILANO VIA GIOVANNI PASCOLI '2,21 Febbraio 2019,,pdf_only,45.4467219,9.2720662
,,,,,,001/21,,,,,,,AGGIUDICATA,72520.0,160065.0,192000.0,esito-18febbraio2021.pdf,L.X.,MILANO VIA GIOVANNI PASCOLI '2,18 Febbraio 2021,,pdf_only,45.4467219,9.2720662
,,,,,,001/22,,,,,,,AGGIUDICATA,73200.0,230926.0,156600.0,esito-17febbraio2022.pdf,P.M.,MILANO PIAZZA PREALPI '4,17 Febbraio 2022,,pdf_only,45.4953597,9.1535242
,,,,,,001/23,,,,,,,AGGIUDICATA,95608.0,280294.0,317121.0,esito-9marzo2023.pdf,F.A.B.,MILANO VIA GASPARE ASELLI '14,9 Marzo 2023,,pdf_only,45.4703236,9.2303413
,,,,,,001/24,,,,,,,AGGIUDICATA,95040.0,160030.0,277990.0,esito-15febbraio2024.pdf,P.P.,MILANO VIA GIOVANNI PASCOLI '2,15 Febbraio 2024,48.0,pdf_only,45.4467219,9.2720662
,,,,,,001/25,,,,,,,AGGIUDICATA,124488.0,410579.0,250120.0,esito-13febbraio2025.pdf,T.M.,MILANO VIA ILLIRICO '3,13 Febbraio 2025,56.0,pdf_only,45.4693581,9.2323084
