address,auction_date,auction_result,base_price_eur,codice,final_offer_eur,lot_id,source_pdf,surface_sqm,winner
MILANO VIA GIOVANNI PASCOLI '4,13 Giugno 2024,AGGIUDICATA,151200.0,00160147,351771.1,104/24,esito-13giugno2024.pdf,70.0,S.G.
MILANO VIA GIOVANNI PASCOLI '4,13 Giugno 2024,AGGIUDICATA,69360.0,00160165,210000.0,105/24,esito-13giugno2024.pdf,34.0,S.A.M.
MILANO VIA JACOPINO DA TRADATE '8,13 Giugno 2024,AGGIUDICATA,93000.0,00230512,177150.0,106/24,esito-13giugno2024.pdf,62.0,S.C.
MILANO VIA ILLIRICO '1,13 Giugno 2024,AGGIUDICATA,100776.0,00410493,146000.0,107/24,esito-13giugno2024.pdf,52.0,S.G.
MILANO VIA ORBETELLO '4,13 Giugno 2024,AGGIUDICATA,132430.0,00500208,227000.0,108/24,esito-13giugno2024.pdf,82.0,C.M.
MILANO PIAZZA CARDINALE PIETRO GASPARRI '4,13 Giugno 2024,AGGIUDICATA,126720.0,00511079,221999.0,109/24,esito-13giugno2024.pdf,88.0,L.K.
MILANO PIAZZA CARDINALE PIETRO GASPARRI '4,13 Giugno 2024,AGGIUDICATA,122400.0,00511136,176200.0,110/24,esito-13giugno2024.pdf,85.0,A.H.I.H.M.
MILANO VIALE UNGHERIA '46,13 Giugno 2024,AGGIUDICATA,129731.0,00550710,172221.0,111/24,esito-13giugno2024.pdf,74.0,C.N.M.
MILANO VIA ROMUALDO BONFADINI '94,13 Giugno 2024,AGGIUDICATA,99928.0,00553300,122000.0,112/24,esito-13giugno2024.pdf,57.0,T.F.
MILANO VIA DEI SALICI '37,13 Giugno 2024,AGGIUDICATA,154660.0,00651044,177600.0,113/24,esito-13giugno2024.pdf,88.0,S.B.F.S.
MILANO VIA DEI LARICI '18,13 Giugno 2024,AGGIUDICATA,117753.0,00651702,119100.0,114/24,esito-13giugno2024.pdf,67.0,G.F.
MILANO VIA DEI LARICI '28,13 Giugno 2024,AGGIUDICATA,115995.0,00651783,145700.0,115/24,esito-13giugno2024.pdf,66.0,M.A.A.M.
