base_price,branch,city,energy_class,has_elevator,internal_id,lot_id,ownership_title,property_type,rooms,source_file,source_url,street_number,auction_result,base_price_eur,codice,final_offer_eur,source_pdf,winner,address,auction_date,surface_sqm,data_source,lat,lng,zone_id,price_disparity,base_price_per_sqm,final_base_price_eur
,,,,,,001/15,,,,,,,ASTA DESERTA,59136.0,20131.0,0.0,esito-18febbraio15.pdf,,MILANO VIA MAC MAHON '89 A,18 Febbraio 2015,,pdf_only,45.4888873,9.164392,-1,-1.0,,
,,,,,,001/16,,,,,,,AGGIUDICATA,46784.0,160027.0,81000.0,esito-11febbraio16.pdf,C.P.G.,MILANO VIA GIOVANNI PASCOLI '2,11 Febbraio 2016,,pdf_only,45.4467219,9.2720662,17,0.7313611491108071,,
,,,,,,001/17,,,,,,,AGGIUDICATA,100640.0,160056.0,242760.0,esito-08marzo17.pdf,S.D.,MILANO VIA GIOVANNI PASCOLI '2,8 Marzo 2017,,pdf_only,45.4467219,9.2720662,17,1.412162162162162,,
36176.0,UOG4,MILANO,G,False,,001/18,,ALLOGGIO,1.0,20180206172225.html,http://www.alermipianovendite.it/4209-2/,4,AGGIUDICATA,36176.0,160173.0,92760.0,esito-08marzo18.pdf,N.L.-.F.E.,VIA GIOVANNI PASCOLI,08 Marzo 2018,28.0,wayback,45.4738427,9.2185495,-1,1.5641309155241043,1292.0,3312.8571428571427
,,,,,,001/19,,,,,,,AGGIUDICATA,87912.0,160088.0,235000.0,esito-21febbraio19.pdf,C.A.I.,MILANO VIA GIOVANNI PASCOLI '2,21 Febbraio 2019,,pdf_only,45.4467219,9.2720662,17,1.6731276731276732,,
,,,,,,001/21,,,,,,,AGGIUDICATA,72520.0,160065.0,192000.0,esito-18febbraio2021.pdf,L.X.,MILANO VIA GIOVANNI PASCOLI '2,18 Febbraio 2021,,pdf_only,45.4467219,9.2720662,17,1.6475455046883618,,
,,,,,,001/22,,,,,,,AGGIUDICATA,73200.0,230926.0,156600.0,esito-17febbraio2022.pdf,P.M.,MILANO PIAZZA PREALPI '4,17 Febbraio 2022,,pdf_only,45.4953597,9.1535242,40,1.139344262295082,,
,,,,,,001/23,,,,,,,AGGIUDICATA,95608.0,280294.0,317121.0,esito-9marzo2023.pdf,F.A.B.,MILANO VIA GASPARE ASELLI '14,9 Marzo 2023,,pdf_only,45.4703236,9.2303413,-1,2.316887708141578,,
,,,,,,001/24,,,,,,,AGGIUDICATA,95040.0,160030.0,277990.0,esito-15febbraio2024.pdf,P.P.,MILANO VIA GIOVANNI PASCOLI '2,15 Febbraio 2024,48.0,pdf_only,45.4467219,9.2720662,17,1.9249789562289563,1980.0,5791.458333333333
,,,,,,001/25,,,,,,,AGGIUDICATA,124488.0,410579.0,250120.0,esito-13febbraio2025.pdf,T.M.,MILANO VIA ILLIRICO '3,13 Febbraio 2025,56.0,pdf_only,45.4693581,9.2323084,43,1.009189640768588,2223.0,4466.428571428572
,,,,,,001/26,,,,,,,AGGIUDICATA,200070.0,160121.0,432750.0,esito-12febbraio2026.pdf,B.M.L.-.E.,MILANO VIA GIOVANNI PASCOLI '4,12 Febbraio 2026,81.0,pdf_only,45.4467192,9.2718486,17,1.1629929524666367,2470.0,5342.592592592592
,,,,,,002/15,,,,,,,ASTA DESERTA,103488.0,20148.0,0.0,esito-18febbraio15.pdf,,MILANO VIA MAC MAHON '89 B,18 Febbraio 2015,,pdf_only,45.4904343,9.1623543,-1,-1.0,,
,,,,,,002/16,,,,,,,AGGIUDICATA,56416.0,160163.0,76800.0,esito-11febbraio16.pdf,R.T.,MILANO VIA GIOVANNI PASCOLI '4,11 Febbraio 2016,,pdf_only,45.4467192,9.2718486,17,0.36131593874078277,,
,,,,,,002/17,,,,,,,AGGIUDICATA,78880.0,160139.0,151352.0,esito-08marzo17.pdf,M.G.E.,MILANO VIA GIOVANNI PASCOLI '4 A,8 Marzo 2017,,pdf_only,45.35079,9.0236968,-1,0.918762677484787,,
58560.0,UOG3,MILANO,G,False,,002/18,,ALLOGGIO,2.0,20180206172225.html,http://www.alermipianovendite.it/4209-2/,7,AGGIUDICATA,58560.0,230434.0,90000.0,esito-08marzo18.pdf,A.G.,VIA G. DE PREDIS,08 Marzo 2018,61.0,wayback,45.4960594,9.1528044,40,0.5368852459016393,960.0,1475.4098360655737
,,,,,,002/19,,,,,,,AGGIUDICATA,107520.0,230558.0,150100.0,esito-21febbraio19.pdf,P.P.,MILANO VIA JACOPINO DA TRADATE '8,21 Febbraio 2019,,pdf_only,45.4966727,9.1496627,41,0.39601934523809523,,
,,,,,,002/21,,,,,,,AGGIUDICATA,94905.0,410151.0,223110.0,esito-18febbraio2021.pdf,C.M.W.,MILANO VIA DALMAZIO BIRAGO '4,18 Febbraio 2021,,pdf_only,45.4697643,9.231295,39,1.3508771929824561,,
,,,,,,002/22,,,,,,,AGGIUDICATA,71706.0,410538.0,103635.0,esito-17febbraio2022.pdf,C.F.,MILANO VIA ILLIRICO '3 A,17 Febbraio 2022,,pdf_only,45.4697051,9.2324398,42,0.44527654589574095,,
,,,,,,002/23,,,,,,,AGGIUDICATA,90915.0,550773.0,176300.0,esito-9marzo2023.pdf,O.B.A.M.,MILANO VIALE UNGHERIA '46,9 Marzo 2023,,pdf_only,45.4459531,9.2523415,21,0.9391739536930099,,
,,,,,,002/24,,,,,,,AGGIUDICATA,120780.0,160143.0,308195.0,esito-15febbraio2024.pdf,B.M.R.\.,MILANO VIA GIOVANNI PASCOLI '4,15 Febbraio 2024,61.0,pdf_only,45.4467192,9.2718486,17,1.5517055803941049,1980.0,5052.377049180328
,,,,,,002/25,,,,,,,AGGIUDICATA,110670.0,450043.0,175550.0,esito-13febbraio2025.pdf,C.A.,MILANO VIA GIOVANNI AMBROGIO DE PREDIS '11,13 Febbraio 2025,62.0,pdf_only,45.4962095,9.152778,40,0.5862474021866811,1785.0,2831.451612903226
,,,,,,002/26,,,,,,,AGGIUDICATA,136097.0,280383.0,218253.0,esito-12febbraio2026.pdf,A.F.,MILANO VIA GASPARE ASELLI '18,12 Febbraio 2026,58.0,pdf_only,45.4706867,9.230349,-1,0.6036576853273768,2346.5,3762.9827586206898
,,,,,,003/15,,,,,,,AGGIUDICATA,103200.0,160083.0,140000.0,esito-18febbraio15.pdf,C.W.,MILANO VIA GIOVANNI PASCOLI '2,18 Febbraio 2015,,pdf_only,45.4467219,9.2720662,17,0.35658914728682173,,
,,,,,,003/16,,,,,,,AGGIUDICATA,49183.0,280536.0,116200.0,esito-11febbraio16.pdf,S.G.T.,MILANO PIAZZA ANDREA FUSINA '2,11 Febbraio 2016,,pdf_only,45.4685592,9.2303688,-1,1.3626049651302279,,
